Аранжмани на Драган Ѓаконовски - Шпато на вокални творби од други автори во фонотеката на Македонска Радио Телевизија МРТВ,

"Податоците се преземени од монографијата за Драган Ѓаконовски - Шпато: Драган Ѓаконовски - Шпато Музичка Легенда, од Ванчо Димитров",
"http://issuu.com/dojrana/docs/spato_kompaktna_verzija",

наслов,автор,изведувач,минути,сигнатура
Меги,Григор Копров,Григор Копров,2.50,З-1572/2
Мелодија за нас,Христо Крстевски,Зоран Милосављевиќ,3.28,З-2033/3
Место за нас,Кочо Петровски,Виолета Томовска
Мисисипи линија,+++,С. Грчаровски,2.42,З-1845/2
Мила моја,М. Божиновски,А. Сопронов
Мил мој,Ги Боне,Нина Спирова,3.10,З-3740/3
Млади луди години,Александар Џамбазов,Б. Ноев
Моето поле,Петар Лукиќ,Нина Спирова,4.20,З-5910/1
Ме подмладуваш,А. Вучер,Нина Спирова,,АЗ-45/17
Мама,Моранди,Нина Спирова,,АЗ-45/19
Мојот јуни,Александар Џамбазов,Нина Спирова,,АЗ-46/4
Мртви лиска,Ж. Козма,Блага Видец,,АЗ-51/6
Мојата гитара,Пичини,Бл. Петров-Караѓуле,,АЗ-52/7
Море в кутивче,+++,Блага Видец со ЗА,,АЗ-60/11
Моретп и јас,Ди Капуа,Б. Николовски,4.30,З-6062/1
Мама Калипсо,Гилар,Љупка Апостолова,,АЗ-55/18
Мојот јуни,Александар Џамбазов,Нина Спирова,,АЗ-62/11
Moon River,H. Mancini,Д. Поповска,2.20,З-186/1
Мост на нашата љубов,Јанко Узунов,Веле Матевски,,З-5626/2
"Нани, нуни, нина",З. Запров,С. Камџијаш,2.25,З-5100/3
Најмила,Ванчо Тарабунов,Авторот,2.48,З-3994/1
На последната средба,Т. Органџиев,Љ. Босилков
Не буди ја првата љубов,Христо Крстевски,Христо Крстевски,3.21,З-2012/3
Нека е крај,Тодор Бојаџиев,Сефедин Бајрамов,2.55,З-6986/2
